Date,Open
2017-06-01,95
2017-05-31,93
2017-05-30,85
2017-05-24,92
2017-05-23,90
2017-05-17,91
2017-05-16,95
2017-05-10,94
2017-05-09,78
2017-05-03,95
2017-05-02,93
2017-04-26,92
2017-04-25,92
2017-04-19,86
2017-04-18,88
2017-04-05,70
2017-04-04,93
2017-03-29,92
2017-03-28,90
2017-03-22,61
2017-03-21,70
2017-03-13,88
2017-03-08,92
2017-02-23,93
2017-02-22,8
2017-02-21,62
2017-02-17,41
2017-02-15,14
2017-02-14,88
2017-02-13,67
2017-02-10,28
2017-02-08,44
2017-01-26,44
